,Nick,League Points,Total Games,Daily League Points,Daily Games
26,석훈2,450,127,0,0
55,Maxbetgg,450,342,0,0
56,영 태,450,163,0,0
57,세젤귀 준호,449,194,0,0
85,망각률,449,419,0,0
87,허남주,448,266,0,0
88,뒷통수절벽,448,226,0,0
89,별수호자르브론,448,276,0,0
90,STPT,448,273,0,0
91,Evenfall,448,176,0,0
92,담배값인상,447,286,0,0
93,체달정,447,203,0,0
94,Tomoda Ayaka,446,342,0,0
95,잘생긴자,446,546,0,0
96,행당동이두박근,446,230,0,0
86,랜턴 알아서 타,445,233,0,0
97,태엽풀린오리아나,445,344,0,0
98,dooaee,445,195,0,0
100,러브게임,444,287,0,0
101,서영서영,443,374,0,0
102,In that,442,294,0,0
103,M0YA,442,218,0,0
104,imeatmybeat,442,266,0,0
105,BeatriceStar,442,469,0,0
106,이른날의추억,442,258,0,0
107,백윤대감되십니까,442,192,0,0
108,Decricia,441,229,0,0
109,리롤 못참는 사람,440,196,0,0
99,혜원둥이,439,120,0,0
110,케모마엘캐모마일,439,210,0,0
84,miamiamiamia,438,284,0,0
59,a9043,437,206,0,0
71,음성사과2,437,361,0,0
83,뭐할라하지말라고,437,693,0,0
60,고고개미,436,440,0,0
61,인죽이,436,305,0,0
62,던지는거 챌린저,435,197,0,0
63,시기펩,433,247,0,0
64,아카시아하나따기,433,295,0,0
65,성록썬더,433,210,0,0
66,헬로우 청춘,432,250,0,0
67,요르르륵,431,370,0,0
68,A Final Death,431,209,0,0
69,점수버그걸린사람,431,388,0,0
58,할줄 아는것만 함,430,446,0,0
70,희구너,430,203,0,0
72,니뭐되나,430,187,0,0
73,극악무도한 복실,429,346,0,0
74,사실싫어,427,248,0,0
75,수학30번,426,218,0,0
76,좀비맨,426,276,0,0
77,잼쁘님,426,211,0,0
78,강력한탈주범,425,284,0,0
79,DaeHoon,425,184,0,0
80,낚시도구,425,311,0,0
81,아오링고,424,323,0,0
82,자잇z,424,146,0,0
224,인생유일,424,333,0,0
225,동사강목,424,384,0,0
226,Not Scythe,423,351,0,0
227,Vanguard Mystery,423,271,0,0
369,이기기쉽네,422,313,0,0
370,정금탁,422,199,0,0
371,마스터이 마스터,422,409,0,0
372,체스왕1,422,156,0,0
373,누누눈나,422,586,0,0
374,OHwowHO,421,419,0,0
375,미대생,420,345,0,0
376,빨치산,420,250,0,0
377,N극과S극의뜨밤,420,221,0,0
368,숭토체스,419,326,0,0
378,늘 너,419,106,0,0
379,국순길,419,208,0,0
380,상우야잘좀해,419,262,0,0
382,23학번 김찬민,419,398,0,0
383,잇 떼,418,344,0,0
384,엿파는엿장수,418,131,0,0
385,26 LEE M H,417,248,0,0
386,킬 뺏 긴 원 딜 ,417,153,0,0
387,alleyday,416,169,0,0
388,오렌지는사과,415,201,0,0
389,2 수 호,415,203,0,0
390,땅꼬밍이,414,184,0,0
381,롤토체스반면교사,413,342,0,0
391,채희린,413,203,0,0
392,qerew,413,111,0,0
341,simsun7,412,135,0,0
353,하늘에얼음이있음,412,322,0,0
365,예 뻐,412,155,0,0
366,술 집,412,338,0,0
342,조성몇,411,439,0,0
343,미스터초밥왕77,411,128,0,0
344,이름김지인,411,266,0,0
345,나뭉아,411,329,0,0
346,플람므,411,140,0,0
